,RVN,Match Code
0,1965-0001-01,"['0000148', '0000218', '0000313', '0000644']"
1,1966-0001-01,"['0000066', '0000082']"
2,1971-0001-01,"['0000083', '0000091', '0000092', '0000534', '0000539']"
3,1971-0001-02,"['0000083', '0000085', '0000091', '0000092', '0000534', '0000539']"
4,1971-0001-03,"['0000083', '0000091', '0000534', '0000539']"
5,1971-0001-04,"['0000085', '0000092', '0000534']"
6,1971-0002-01,"['0000083', '0000084', '0000091', '0000093', '0000534', '0000539']"
7,1971-0002-02,"['0000083', '0000084', '0000091', '0000093', '0000535', '0000539']"
8,1971-0002-03,"['0000083', '0000084', '0000090', '0000091', '0000534', '0000539']"
9,1971-0003-01,"['0000083', '0000091', '0000539']"
10,1971-0003-02,"['0000083', '0000091']"
11,1974-0001-01,['0000762']
12,1974-0002-01,['0000625']
13,1975-0001-01,"['0000431', '0000437']"
14,1977-0001-01,"['0000233', '0000298', '0000397', '0000580', '0000598', '0000682']"
15,1978-0001-01,"['0000429', '0000703', '0000766', '0000789', '0000851']"
16,1980-0001-01,['0000429']
17,1980-0002-01,['0000717']
18,1980-0002-02,['0000716']
19,1980-0003-01,"['0000049', '0000588', '0000688', '0000756', '0000761']"
20,1981-0001-01,"['0000137', '0000329']"
21,1981-0001-02,"['0000137', '0000328']"
22,1981-0001-03,"['0000137', '0000327']"
23,1981-0001-04,"['0000137', '0000328', '0000594', '0000828']"
24,1981-0001-05,"['0000137', '0000328', '0000594', '0000829']"
25,1981-0001-06,"['0000137', '0000327', '0000595']"
26,1981-0001-07,"['0000137', '0000328', '0000829']"
27,1981-0002-01,"['0000088', '0000132']"
28,1981-0003-01,"['0000139', '0000593', '0000623']"
29,1981-0003-02,"['0000139', '0000593', '0000623', '0000791', '0000832', '0000834']"
30,1981-0003-03,"['0000139', '0000591']"
31,1981-0003-04,"['0000135', '0000171', '0000272', '0000590', '0000624', '0000820', '0000856']"
32,1981-0004-01,"['0000139', '0000171', '0000272', '0000820', '0000856']"
33,1981-0005-01,"['0000017', '0000070', '0000272', '0000415', '0000425', '0000628']"
34,1981-0006-01,['0000722']
35,1981-0007-01,"['0000480', '0000487', '0000634', '0000710', '0000752', '0000757', '0000758', '0000841']"
36,1981-0008-01,"['0000687', '0000725']"
37,1983-0001-01,"['0000451', '0000501']"
38,1983-0001-02,['0000501']
39,1983-0001-03,"['0000451', '0000496']"
40,1983-0001-04,"['0000451', '0000497']"
41,1983-0001-05,"['0000452', '0000496']"
42,1983-0001-06,"['0000438', '0000497', '0000520']"
43,1983-0002-01,['0000496']
44,1983-0002-02,['0000497']
45,1983-0003-01,"['0000172', '0000333', '0000458', '0000478', '0000568', '0000638', '0000639', '0000700', '0000701', '0000702']"
46,1984-0001-01,"['0000718', '0000754']"
47,1984-0002-01,"['0000403', '0000575']"
48,1986-0001-01,"['0000272', '0000576', '0000601', '0000605', '0000775', '0000821']"
49,1986-0001-02,"['0000051', '0000576', '0000601', '0000783']"
50,1986-0001-03,"['0000272', '0000576', '0000601', '0000605', '0000776', '0000785', '0000821']"
51,1986-0001-04,"['0000577', '0000602', '0000604', '0000778', '0000780', '0000782']"
52,1986-0002-01,"['0000046', '0000171', '0000272', '0000330', '0000559', '0000819']"
53,1986-0003-01,"['0000102', '0000760', '0000830']"
54,1987-0001-01,"['0000171', '0000272', '0000419', '0000820', '0000856']"
55,1987-0001-02,"['0000171', '0000272', '0000419', '0000471', '0000562', '0000723', '0000768', '0000820', '0000856']"
56,1987-0001-03,"['0000171', '0000272', '0000617', '0000820', '0000856']"
57,1987-0001-04,"['0000171', '0000272', '0000305', '0000420', '0000561', '0000820']"
58,1987-0001-05,"['0000171', '0000177', '0000272', '0000419', '0000820']"
59,1987-0001-07,"['0000172', '0000177', '0000272', '0000820']"
60,1987-0001-08,"['0000119', '0000172', '0000272', '0000419', '0000502', '0000612', '0000642', '0000820', '0000856']"
61,1987-0001-09,"['0000172', '0000272', '0000419', '0000820', '0000856']"
62,1987-0001-10,"['0000172', '0000264', '0000272', '0000419', '0000476', '0000820']"
63,1997-0002-01,"['0000057', '0000898', '0000915']"
64,1987-0001-12,"['0000172', '0000264', '0000272', '0000477', '0000820']"
65,1987-0001-13,"['0000172', '0000264', '0000272', '0000334']"
66,1987-0001-14,"['0000175', '0000272', '0000377.0.1', '0000399.0.1', '0000419']"
67,1987-0001-15,"['0000181', '0000272', '0000377.1.0', '0000399.0.1', '0000419', '0000567']"
68,1987-0001-16,"['0000181', '0000272', '0000377.0.1', '0000399.1.0', '0000419', '0000567']"
69,1987-0001-17,"['0000181', '0000272', '0000377.1.0', '0000399.1.0', '0000419', '0000567']"
70,1987-0001-18,"['0000175', '0000272', '0000377.1.0', '0000399.0.1', '0000419', '0000569', '0000833', '0000835', '0000838', '0000843']"
71,1988-0001-01,"['0000916', '0000917']"
72,1987-0001-20,"['0000181', '0000272', '0000377.0.1', '0000399.0.1', '0000419', '0000567']"
73,1987-0001-21,"['0000168', '0000181', '0000272', '0000383', '0000419', '0000565', '0000862']"
74,1987-0001-22,"['0000182', '0000272', '0000399', '0000419', '0000564', '0000862']"
75,1987-0001-23,"['0000183', '0000185', '0000274', '0000422', '0000434']"
76,1987-0001-24,"['0000175', '0000188', '0000377.0.1', '0000399.0.1', '0000419']"
77,1987-0001-25,"['0000175', '0000272', '0000377.1.0', '0000399.0.1', '0000419']"
78,1987-0001-26,"['0000175', '0000187', '0000381', '0000399', '0000419', '0000524', '0000567']"
79,1987-0001-27,"['0000182', '0000272', '0000377.0.1', '0000399.0.1', '0000419', '0000567']"
80,1987-0001-28,"['0000114', '0000181', '0000272', '0000377.1.0', '0000399.1.0', '0000419', '0000567', '0000633', '0000751', '0000890']"
81,1987-0001-29,"['0000101', '0000175', '0000272', '0000377.1.0', '0000391.1.0', '0000419', '0000490']"
82,1993-0003-05,"['0000121.0.1', '0000123', '0000124', '0000417', '0000442', '0000508', '0000770']"
83,1987-0001-31,"['0000175', '0000273', '0000377.0.1', '0000392.0.1']"
84,1987-0001-32,"['0000181', '0000273', '0000377.1.0', '0000399.1.0', '0000419', '0000567']"
85,1987-0001-33,"['0000181', '0000273', '0000377.1.0', '0000399.0.1', '0000419', '0000567']"
86,1987-0001-34,"['0000175', '0000273', '0000392', '0000862']"
87,1987-0001-35,"['0000175', '0000272', '0000377.1.0', '0000399.1.0', '0000419']"
88,1987-0001-36,"['0000181', '0000272', '0000377.1.0', '0000399.0.1', '0000419', '0000861']"
89,1987-0001-37,"['0000181', '0000272', '0000399', '0000920']"
90,1987-0001-38,"['0000181', '0000272', '0000399', '0000862']"
91,1987-0001-39,"['0000181', '0000272', '0000382', '0000419', '0000862']"
92,1987-0001-40,"['0000181', '0000277', '0000377.1.0', '0000399.1.0']"
93,1987-0001-41,"['0000134', '0000416', '0000446', '0000464', '0000715']"
