,LANGUAGE,Match_ID
0,"although not specifically discussed,? it is understood throughout england,? by numerous precedents,? that we will not provide copies of the films to other institutions or parties without written permission from the donor,? in this case mr. kenneth rogers.?$",0000931
1,"that no reproduction of positive copies from the master negative,? nor any enlargements from the negative,? be made for sale of for any other purposes than to replace worn negative copies,? either in the british isles,? the u.s.a. or elsewhere without the express consent of the county records committee and the owner or controlling authority.?$",0000932
2,"^(((.{2,80})) (will|shall))? ?indicate in all the activities carried out under this agreement,? that the original documents come from .*? and that the (digital|digitized) images have been made in collaboration with the city of murcia.?$",0000001
3,^(\|\*\| )?i do not wish to grant permission at this time.?(\: \|\*\|)?$,0000002
4,"^(accordingly,? )?based on the public nature of .*?,? (.{2,80}) understands that ((.{2,80})|it|we|they) has unlimited rights to (use|utilize) and transfer the (digital|digitized) images ?(and (indices?|index(es)?))? of .*?,? for any lawful purpose without limitation.?$",0000003
5,"^(both )?.*? and (.{2,80}) are authorized to sell or otherwise distribute copies of the (micro)?(films?)?\/? ?(micro)?(fiches)? to other genealogical societies,? libraries,? and\/or other such (entit(y)?(ies)?)?(organizations?)?(institutions?)? in accordance with the respective society's normal practices,? without further referral to the undersigned;?$",0000004
6,"^(both,? )?(.{2,80}) and .*?,? (may)?(can)? ?not sell copies of the digit(al)?(ized)? records in any (means)?(mediums?)? without the written consent of the other (entity)?(organization)?(institution)?,? but (may)?(can)? sell any resources (they)?((.{2,80}) and .*?)? create from the digit(al)?(ized)? records.?$",0000005
7,"^(both,? )?(.{2,80}) and .*?,? (may)?(can)? place the digit(al)?(ized)? images in their web ?sites? to facilitate the virtual access to the users and investigators.?$",0000006
8,"^(both,? )?(.{2,80}) and .*?,? (may)?(can)? reproduce,? distribute,? display,? (use)?(utilize)?,? and (allow)?(permit)?( the)? use of copies of the acquired images and digit(al)?(ized)? ind(ices?)?(ex)?(es)?,? for non-?profit purposes,? via any technology?(ies)? and in any (means)?(mediums?)? now known or later developed( \(\""use rights\""\))?.?$",0000007
9,"^(both,? )?(.{2,80}) and .*?,? (may|can)? ?not sell copies of the (micro)?(filmed)? records in any (means)?(mediums?)? without the written consent of .*?,? but (may)?(can)? charge photo-duplication fees for fair use copies and (may)?(can)? sell any resources created from the (micro)?(filmed)? records.?$",0000009
10,"^(?!.*and)(.{2,80}) (may|can)?( also)? charge registered users a (usage)?(user?)? fee( in order)? to help cover the cost of providing access to the (micro)?filmed records.?$",0000010
11,"^(both,? )?.*? and (.{2,80}),? (may)?(can)? ?not sell copies of the( micro)?( filmed)? records in any (means)?(mediums?)? without the express written consent of .*?,? but .*? and (.{2,80}) (may)?(can)? sell copies of any resources( that)? (they|it) creates? from the (micro)?filmed records.?$",0000011
12,"^(.*? hereby acknowledges,? certifies and agrees that )?all digit(al)?(ized)? images and other materials? of whatever kind or nature created,? produced or delivered by .*? under this agreement and all results and proceeds of .*?'s services hereunder,? including all (work\(?s?\)?)?\/?(material\(?s?\)?)? product of .*? \(all such materials? and all such results and proceeds being sometimes collectively referred to herein as the \""material\""\) are and (wi)?(sha)?ll be deemed to be \""works made for hire\"" specially ordered or commissioned by (.{2,80}).?$",0000012
13,"^((.{2,80})|we) understand that .*? (has|have) confirmed that the above-listed records are unrestricted records that are part of the public domain ?(\(i.e.,? “public records” under applicable law\))?( and as such that no purchase order is needed)?.?$",0000013
14,"^(in addition,? )?with your permission,? arrangements can be made to (microfilm|film) your family history and place it in our vault for preservation.?$",0000014
15,^(may|can|\*\*unreadable\*\*)? ?/? ?(may|can) ?not sell or exchange copies of (the|this|these|their|it''?s) (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) to any( other)? (entit(y|ies)|organizations?|institutions?) or (persons?|individuals?|people)? without the written permission of .*?.?$,0000016
16,"^(microfilming|filming) archive materials does not give (.{2,80}) any rights? to a copyright.?$",0000017
17,"^(otherwise,? )?(.{2,80}) is planning to proceed with the understanding that ((.{2,80})|it|we|they) can (use|utilize) the (digital|digitized) images ?(and (indices?|index(es)?))? freely,? without restriction,? unless otherwise prohibited by local law.?$",0000018
18,"^(per item 6,? )?(.{2,80}) (may|can) at some future date create (indices?|index(es)?) and (research|finding|search) (aids?|materials?|resources?|tools?) from information extracted from the (microfilms?|films?|microfiches?|fiches?|microforms?|microfilms?/microfiches?|microfilms?/fiches?) of samcc's records.?$",0000019
19,"^(.*? (further )?acknowledges and agrees that )?(authorizes? )? ?(.{2,80}),? at (((.{2,80})(''s)?|it''?s|their) discretion and expense|the discretion and at the expense of (.{2,80})),? to create (research|finding|search) (aids?|materials?|resources?|tools?),? including (indices?|index(es)?),? based (on|upon) the content of the (digital|digitized) images( \(""((.{2,80}))?research materials""\))?.?$",0000020
20,"^(.*? (further )?acknowledges and agrees that )?(authorizes? )?(.{2,80}),? at (((.{2,80})(''s)?|it''?s|their) discretion and expense|the discretion and at the expense of (.{2,80})),? to create (digital|digitized) images of the original records( \(""digital images""\))?.?$",0000021
21,^(.*? (further )?acknowledges and agrees that )?any research materials (will|shall) be exclusively owned by the vendors? who creates? such research materials.?$,0000022
22,"^(.*? (further )?acknowledges and agrees that )?any research materials \(including any (.{2,80})-produced (indices?|index(es)?)\) (will|shall) be exclusively owned by (.{2,80}).?$",0000023
23,"^(.*? (further )?acknowledges and agrees that )?any research materials or (indices?|index(es)?) (will|shall) be exclusively owned by (.{2,80}).?$",0000024
24,"^(.*? (further )?acknowledges and agrees that )?any research materials or (indices?|index(es)?) created hereunder by (.{2,80}) will be exclusively owned by (.{2,80}).?$",0000025
25,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (may|can),? at ((.{2,80})(''s)?|it''?s|their) own criteria and cost,? create (research|finding|search) (aids?|materials?|resources?|tools?),? including (indices?|index(es)?),? based (on|upon) the content of the (digital|digitized) images( \(""research materials""\))?.?$",0000026
26,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (may|can|shall be able),? according to ((.{2,80})(''s)?|it''?) own criteria and costs,? (to )?create search materials,? including (indices?|index(es)?) based (on|upon) the content of the (digital|digitized) images( \(""search materials""\)).?$",0000027
27,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (may|can|shall be able),? at (((.{2,80})(''s)?|it''?s|their) option and cost|the option and cost of (.{2,80})),? (to )?create genealogical (research|finding|search) (aids?|materials?|resources?|tools?),? including (indices?|index(es)?),? based (on|upon) the content of the (digital|digitized) images( \(""research materials""\))?.?$",0000028
28,"we are allowed unrestricted use of the films to include indexing \(igi\),? patron use,? etc.?$",0000930
29,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (may|can|shall be able),? at (((.{2,80})(''s)?|it''?s|their) option and cost|the option and cost of (.{2,80})),? (to )?create genealogical (research|finding|search) (aids?|materials?|resources?|tools?),? including (indices?|index(es)?),? based (on|upon) the content of the (digital|digitized) images( \(""finding materials""\))?.?$",0000029
30,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) have exclusive property rights,? both intellectual and copyrights,? over the (research|finding|search) (aids?|materials?|resources?|tools?),? provided that these do not result in financial gain for (.{2,80}).?$",0000030
31,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) have exclusive rights in and over all property rights in the research materials,? including industrial rights and copyright.?$",0000031
32,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) have exclusive rights of use over the research materials.?$",0000032
33,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) have the exclusive rights of property,? both industrial and authorial,? regarding the search materials.?$",0000033
34,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) own all rights to the (digital|digitized) records created hereunder.?$",0000034
35,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) own the finding materials.?$",0000035
36,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) own the research materials,? and any intellection property rights in the research materials.?$",0000036
37,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) own the research materials.?$",0000037
38,"^(.*? (further )?acknowledges and agrees that )?(.{2,80}) (will|shall) own,? and have the rights to (use|utilize),? and permit( the)? use of,? the research materials( immediately upon the personal data in the digital images becoming unrestricted data)?.?$",0000038
39,"^(.*? acknowledges that )?by virtue of the sale of the indexes hereunder,? that except to the extent specifically limited hereunder,? (.{2,80}) (will|shall) own all rights to the indexes including,? without limitation,? the rights? to (use|utilize),? reproduce,? distribute,? transmit,? publish,? create derivative (work\(?s?\)?|material\(?s?\)?) from,? perform,? display,? and otherwise (use|utilize) the (indices?|index(es)?) as ((.{2,80})|it|they) sees? fit ?- ?without limit to time,? number,? language,? geography,? and/or medium now known or hereafter devised,? including through (.{2,80}) family history library and family history centers and affiliate libraries worldwide and through internet hosting for public access;? provided,? however,? that .*?'s rights (of|on|in|to) the original copy of the (indices?|index(es)?) continue unchanged,? and .*? (may|can) (use|utilize) the (indices?|index(es)?) as (.*?|it) sees fit.?$",0000040
40,"^(?!.*since)(.*? represents and warrants| represents and warrants that(: \(1\)))? ?(.*?|it) has the authority to agree to ((.{2,80})(''s)?|it''?s) copying of the original records and use of the (digital|digitized) images as provided in this agreement(,? notwithstanding any existing nicaraguan laws,? including,? but not limited to,? law no. 787)?.?$",0000043
41,^(that )?baptismal records within 100 years from the date of the event (will|shall) not be displayed;? and these same documents (will|shall) not be made available for research without permission from .*?;?$,0000044
42,"^(that )?(.{2,80}) (may|can) distribute,? transmit,? display,? and permit( the)? use of copies of .*?,?( subject to the provisions of p. d. 603 and other pertinent laws,)? for non-?profit purposes,? via any (technology|technologies) and in any (means|mediums?|medias?) now known or later developed.?$",0000045
43,"^(that )?(.{2,80}) (may|can)(,? at its discretion,)?( also)? (use|utilize)( the)? (digital|digitized) format of .*? in any (technology|technologies) and (means|mediums?),? including web ?site access by registered users,? but solely for research and non-?profit purposes subject to the pertinent provisions of p.d. 603,? other related laws and stipulations expressly provided hereunder.?$",0000046
44,"^(that )?(.{2,80}) (will|shall) not sell copies of records without the written consent of .*?.?$",0000047
